Index,Original_中轴承温度,Original_A相线温度,Original_电机前轴承温度,Original_垂直振动,Original_水平振动,Original_出口烟气温度,Reconstructed_中轴承温度,Reconstructed_A相线温度,Reconstructed_电机前轴承温度,Reconstructed_垂直振动,Reconstructed_水平振动,Reconstructed_出口烟气温度,Error_中轴承温度,Error_A相线温度,Error_电机前轴承温度,Error_垂直振动,Error_水平振动,Error_出口烟气温度,Threshold_中轴承温度,Threshold_A相线温度,Threshold_电机前轴承温度,Threshold_垂直振动,Threshold_水平振动,Threshold_出口烟气温度,Warning_中轴承温度,Warning_A相线温度,Warning_电机前轴承温度,Warning_垂直振动,Warning_水平振动,Warning_出口烟气温度
0,66.54763,70.41333,66.57374,0.33577502,0.32356495,149.27263,66.09988,72.36412,66.84678,0.33632165,0.3242722,148.86153,0.447753596,1.950790483,0.27303887,0.000546632,0.000707236,0.411103511,0.447753596,1.950790483,0.27303887,0.000546632,0.000707236,0.411103511,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,66.54763,70.439445,66.57374,0.33577502,0.2869353,149.27263,66.23153,70.760155,67.07633,0.336079,0.2871046,149.27348,0.316100764,0.320709724,0.502592092,0.000303981,0.000169307,0.000853276,0.847390232,6.898955898,1.199408683,0.001283206,0.002340137,1.656432007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,66.54763,70.46559,66.57374,0.34798512,0.2869353,149.37415,66.22112,70.93674,67.04898,0.34770355,0.28705412,149.42342,0.326507258,0.471147061,0.475240713,0.000281574,0.000118821,0.049266138,0.78602167,6.115251621,1.140867768,0.001226046,0.002214675,1.448120587,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,66.54763,70.46559,66.57374,0.37240526,0.31135547,149.47566,66.22497,71.60688,66.9213,0.37123957,0.3117846,149.3249,0.322662043,1.141290188,0.347562795,0.001165687,0.000429125,0.150754604,0.739937189,5.528558475,1.06156102,0.003097525,0.002013763,1.273997302,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,66.54763,70.49173,66.57374,0.47008532,0.33577502,149.5014,66.66126,71.30879,67.31002,0.4662873,0.33541274,149.82835,0.113632512,0.817062114,0.736280447,0.003798005,0.000362279,0.326953882,1.066233942,5.039800126,1.588249432,0.007427152,0.001840095,1.304662863,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,66.54763,70.51785,66.57374,0.33577502,0.32356495,149.55292,66.09065,72.47368,66.84572,0.33630645,0.32428175,149.16266,0.456977534,1.955828589,0.271978384,0.000531433,0.000716802,0.390261309,1.131964497,5.710428562,1.579761108,0.009868291,0.002069335,1.372273825,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,66.57374,70.54399,66.57374,0.33577502,0.31135547,149.65445,66.20424,71.9023,66.98581,0.33625337,0.31133118,149.48183,0.369501108,1.358307974,0.412069326,0.000478355,2.43E-05,0.172623218,1.084292466,5.448946936,1.493049829,0.009275361,0.002173558,1.286776224,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,66.57374,70.54399,66.57374,0.47008532,0.32356495,149.70596,66.551735,71.70806,67.23742,0.4673724,0.32390624,149.9468,0.022005076,1.164071218,0.663679128,0.002712932,0.000341293,0.240832603,1.311521971,5.173602955,1.592525825,0.009914528,0.002054656,1.222693569,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,66.57374,70.57013,66.57374,0.39682543,0.31135547,149.75748,66.1613,72.064735,66.9565,0.39534238,0.31198135,149.43887,0.412439341,1.494605413,0.382757192,0.00148305,0.00062588,0.318606709,1.300194725,5.059539762,1.532977273,0.009465803,0.002094068,1.202530341,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9,66.57374,70.596275,66.57374,0.3601952,0.31135547,149.78325,66.20124,71.78012,66.95074,0.36007673,0.3115965,149.70445,0.37249946,1.18384585,0.376997,0.000118475,0.000241043,0.078797485,1.265031551,4.860550861,1.482184533,0.009295834,0.002021696,1.19098911,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,66.57374,70.6224,66.57374,0.43345508,0.31135547,149.91058,66.2388,72.18923,67.04606,0.4320738,0.3114012,149.73415,0.334939951,1.566831873,0.472318655,0.001381278,4.57E-05,0.176433882,1.223405585,4.808785446,1.438081781,0.008953327,0.002050706,1.145232951,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,66.57374,70.6224,66.57374,0.34798512,0.32356495,149.96211,66.1168,72.57558,66.86601,0.3484554,0.3242175,149.68039,0.456941599,1.953176782,0.292272573,0.000470279,0.000652548,0.281720596,1.238129992,5.003603819,1.429877311,0.00868606,0.002111604,1.122103488,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
